row_id,date,source_text,extracted_events,event_fact,schema_valid,grounding_valid,temporal_valid,review_event_count_correct,review_evidence_correct,review_factuality_correct,review_missing_event,review_hallucinated_event,review_notes
52,1982-02-22,NA (no relevant information found),[],No material event was identified in the provided text.,True,True,True,,,,,,
150,1982-05-31,"The author Murray N. Rothbard wrote about law, property rights, and air pollution in 1982 . Sterling v. Velsicol Chemical Corp. was a court case in 1982 related to air pollution control .","[{""event_id"": ""evt_ea012463ff484902184a949e"", ""source_row_id"": 150, ""source_text_hash"": ""c6a7dd7702d7681326e1ef2a19675fecba94041d2d159cb2c2c0cd3cd3ae90c8"", ""report_time"": ""1982-05-31"", ""event_time_start"": ""1982"", ""event_time_end"": ""1982"", ""actor"": ""Sterling v. Velsicol Chemical Corp."", ""action"": ""was a court case related to air pollution control"", ""object"": ""air pollution control"", ""location"": null, ""event_type_raw"": ""court case related to air pollution control"", ""event_type_canonical"": null, ""affected_target"": ""air pollution control"", ""expected_direction"": ""unknown"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""Sterling v. Velsicol Chemical Corp. was a court case in 1982 related to air pollution control ."", ""source_name"": null, ""extraction_confidence"": 1.0, ""temporal_status"": ""past"", ""grounding_status"": ""exact"", ""warnings"": []}]","Event type: court case related to air pollution control.
Event time: 1982.
Actor and action: Sterling v. Velsicol Chemical Corp. was a court case related to air pollution control air pollution control.
Factuality: observed.
Expected direction: unknown.
Candidate lag: unknown.
Evidence: Sterling v. Velsicol Chemical Corp. was a court case in 1982 related to air pollution control ..",True,True,True,,,,,,
206,1982-07-26,A 1980 study by the New York State Department of Environmental Conservation linked acid rain to pollution.,"[{""event_id"": ""evt_570c7a611e5c54e5e20370d9"", ""source_row_id"": 206, ""source_text_hash"": ""be484f9cd19b98295f4e0f2873f8ea1927909d21415176ed5d64ef194e44c951"", ""report_time"": ""1982-07-26"", ""event_time_start"": ""1980"", ""event_time_end"": ""1980"", ""actor"": ""New York State Department of Environmental Conservation"", ""action"": ""linked"", ""object"": ""acid rain to pollution"", ""location"": null, ""event_type_raw"": ""linking acid rain to pollution"", ""event_type_canonical"": null, ""affected_target"": ""acid rain"", ""expected_direction"": ""unknown"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""A 1980 study by the New York State Department of Environmental Conservation linked acid rain to pollution."", ""source_name"": null, ""extraction_confidence"": 1.0, ""temporal_status"": ""past"", ""grounding_status"": ""exact"", ""warnings"": []}]","Event type: linking acid rain to pollution.
Event time: 1980.
Actor and action: New York State Department of Environmental Conservation linked acid rain to pollution.
Factuality: observed.
Expected direction: unknown.
Candidate lag: unknown.
Evidence: A 1980 study by the New York State Department of Environmental Conservation linked acid rain to pollution..",True,True,True,,,,,,
283,1982-10-11,The 1982 Annual Report of the New York Federal Plaza region mentions the ADP facility having the latest in security and environmental quality.,[],No material event was identified in the provided text.,True,True,True,,,,,,
297,1982-10-25,"The article from October 31, 1982, mentions that termites produce less carbon dioxide than plant respiration and decay, which adds 10 to 15 times as much carbon dioxide to the air.","[{""event_id"": ""evt_79e77047c066f2dcb09daaae"", ""source_row_id"": 297, ""source_text_hash"": ""71e4dbd82ebcd12bcfe171923ab36ee99d4656750ec8f3deadb51f41f85a2bab"", ""report_time"": ""1982-10-25"", ""event_time_start"": ""1982-10-31"", ""event_time_end"": ""1982-10-31"", ""actor"": ""termites"", ""action"": ""produce less carbon dioxide than plant respiration and decay"", ""object"": ""carbon dioxide emissions"", ""location"": null, ""event_type_raw"": ""termites produce less carbon dioxide than plant respiration and decay"", ""event_type_canonical"": null, ""affected_target"": ""carbon dioxide emissions"", ""expected_direction"": ""negative"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""termites produce less carbon dioxide than plant respiration and decay"", ""source_name"": null, ""extraction_confidence"": 1.0, ""temporal_status"": ""invalid"", ""grounding_status"": ""exact"", ""warnings"": [""event_time_not_explicitly_dated_in_evidence"", ""future_event_marked_observed""]}, {""event_id"": ""evt_a5d9d7fa90b62898bfacbb45"", ""source_row_id"": 297, ""source_text_hash"": ""71e4dbd82ebcd12bcfe171923ab36ee99d4656750ec8f3deadb51f41f85a2bab"", ""report_time"": ""1982-10-25"", ""event_time_start"": ""1982-10-31"", ""event_time_end"": ""1982-10-31"", ""actor"": ""plant respiration and decay"", ""action"": ""add 10 to 15 times as much carbon dioxide to the air"", ""object"": ""carbon dioxide emissions"", ""location"": null, ""event_type_raw"": ""plant respiration and decay adds 10 to 15 times as much carbon dioxide to the air"", ""event_type_canonical"": null, ""affected_target"": ""carbon dioxide emissions"", ""expected_direction"": ""positive"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""decay, which adds 10 to 15 times as much carbon dioxide to the air"", ""source_name"": null, ""extraction_confidence"": 1.0, ""temporal_status"": ""invalid"", ""grounding_status"": ""exact"", ""warnings"": [""event_time_not_explicitly_dated_in_evidence"", ""future_event_marked_observed""]}]",No material event was identified in the provided text.,True,True,False,,,,,,
311,1982-11-08,The Planning Department has predicted ''substantial air-quality loss'' for certain sites in midtown should maximum development occur.,"[{""event_id"": ""evt_f92f825feb68c888b81d0f37"", ""source_row_id"": 311, ""source_text_hash"": ""5a65c2697bb526a540cc8bda5fceaaddff134512cef4a621997a59b0972549b3"", ""report_time"": ""1982-11-08"", ""event_time_start"": null, ""event_time_end"": null, ""actor"": ""The Planning Department"", ""action"": ""predicted"", ""object"": ""substantial air-quality loss"", ""location"": ""certain sites in midtown"", ""event_type_raw"": ""prediction of substantial air-quality loss"", ""event_type_canonical"": null, ""affected_target"": ""Air Quality Index"", ""expected_direction"": ""negative"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""forecast"", ""evidence_span"": ""The Planning Department has predicted ''substantial air-quality loss'' for certain sites in midtown should maximum development occur."", ""source_name"": null, ""extraction_confidence"": 1.0, ""temporal_status"": ""undated"", ""grounding_status"": ""exact"", ""warnings"": []}]","Event type: prediction of substantial air-quality loss.
Event time: unknown.
Actor and action: The Planning Department predicted substantial air-quality loss.
Factuality: forecast.
Expected direction: negative.
Candidate lag: unknown.
Evidence: The Planning Department has predicted ''substantial air-quality loss'' for certain sites in midtown should maximum development occur..",True,True,True,,,,,,
367,1983-01-03,NA (No relevant information found),[],No material event was identified in the provided text.,True,True,True,,,,,,
416,1983-02-21,The Environmental Protection Agency (EPA) was primarily concerned with air pollution.,[],No material event was identified in the provided text.,True,True,True,,,,,,
472,1983-04-18,"In 1983, residents near a toxic site in New York were set to leave their homes due to pollution concerns.","[{""event_id"": ""evt_7f33d9a1634b31f40d945f95"", ""source_row_id"": 472, ""source_text_hash"": ""b6685dc6829185ffc4cf798315f30270d81f551644f653979280d73c9699d6f1"", ""report_time"": ""1983-04-18"", ""event_time_start"": ""1983"", ""event_time_end"": null, ""actor"": ""residents near a toxic site in New York"", ""action"": ""were set to leave their homes"", ""object"": ""their homes"", ""location"": ""New York"", ""event_type_raw"": ""residents near a toxic site in New York were set to leave their homes due to pollution concerns"", ""event_type_canonical"": null, ""affected_target"": null, ""expected_direction"": ""unknown"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""In 1983, residents near a toxic site in New York were set to leave their homes due to pollution concerns."", ""source_name"": null, ""extraction_confidence"": 1.0, ""temporal_status"": ""past"", ""grounding_status"": ""exact"", ""warnings"": []}]","Event type: residents near a toxic site in New York were set to leave their homes due to pollution concerns.
Event time: 1983.
Actor and action: residents near a toxic site in New York were set to leave their homes their homes.
Factuality: observed.
Expected direction: unknown.
Candidate lag: unknown.
Evidence: In 1983, residents near a toxic site in New York were set to leave their homes due to pollution concerns..",True,True,True,,,,,,
591,1983-08-15,"The air quality in the Gauley River Basin is generally good, with no major industrial air pollution sources.",[],No material event was identified in the provided text.,True,True,True,,,,,,
